X,Y,gid,Name,description
2.01702234697036,41.9291533930779,1,2016080155,
1.79686169832634,41.318250474612,2,2016080162,
1.79553413828972,41.3184418507147,3,2016080162,
1.79630797585605,41.3207870367045,4,2016080162,
2.70871350484607,41.8726213986752,10,2016170048,
1.7986615406045,41.3205238724709,5,2016080162,
2.16447429607042,41.4480565600046,6,2016080232,
2.09463141967144,41.3903699541986,7,2016080237,
2.7093018862543,41.8677024418317,9,2016170048,
3.14574826054294,42.3667080582564,8,2016170039,
1.41689502395612,41.2175862818526,30,2016430096,
2.77798034276307,41.7113769350256,11,2016170056,
2.99299985401117,42.1181135767621,12,2016170060,
1.10025581646902,41.547723566887,13,2016250022,
1.12140317381049,41.5378533575705,14,2016250022,
1.13097271484229,41.5156683997501,15,2016250032,
1.12315870713434,41.5227441616345,16,2016250032,
1.1197418744254,41.526922960249,17,2016250032,
1.36391975740046,41.611279255844,18,2016250033,
1.35482811881109,42.3395872759731,20,2016250044,
1.13654236549359,42.667280987851,21,2016250055,
1.36049864699585,41.6231527451119,19,2016250033,
1.42741025087661,41.221830084284,27,2016430096,
1.41713467674758,41.2150684543317,28,2016430096,
1.40813197524378,41.2124676311405,29,2016430096,
1.46944259273134,41.2280538571933,22,2016430004,
1.47126881561727,41.2306457814206,23,2016430004,
1.25808816441502,41.1633680489589,24,2016430090,
1.40365107609718,41.215242756829,25,2016430096,
1.39585503890906,41.214537442639,26,2016430096,
